dataset,id,fold,fold_seed
nafld,3413,3,20261009
nafld,3419,5,20261009
nafld,3423,1,20261009
nafld,3426,2,20261009
nafld,3429,1,20261009
nafld,3430,4,20261009
nafld,3431,2,20261009
nafld,3445,1,20261009
nafld,3466,5,20261009
nafld,3469,5,20261009
nafld,3472,4,20261009
nafld,3481,2,20261009
nafld,3486,4,20261009
nafld,3501,4,20261009
nafld,3509,2,20261009
nafld,3515,3,20261009
nafld,3535,4,20261009
nafld,3542,2,20261009
nafld,3556,2,20261009
nafld,3560,2,20261009
nafld,3572,4,20261009
nafld,3580,1,20261009
nafld,3583,1,20261009
nafld,3599,2,20261009
nafld,3626,5,20261009
nafld,3630,5,20261009
nafld,3646,1,20261009
nafld,3685,1,20261009
nafld,3696,5,20261009
nafld,3716,4,20261009
nafld,3763,5,20261009
nafld,3776,2,20261009
nafld,3777,5,20261009
nafld,3778,5,20261009
nafld,3793,3,20261009
nafld,3810,5,20261009
nafld,3816,2,20261009
nafld,3817,2,20261009
nafld,3825,2,20261009
nafld,3850,3,20261009
nafld,3852,5,20261009
nafld,3856,3,20261009
nafld,3860,3,20261009
nafld,3872,4,20261009
nafld,3892,3,20261009
nafld,3913,3,20261009
nafld,3916,5,20261009
nafld,3925,2,20261009
nafld,3938,4,20261009
nafld,3978,4,20261009
nafld,3991,5,20261009
nafld,3995,2,20261009
nafld,4033,1,20261009
nafld,4045,4,20261009
nafld,4065,1,20261009
nafld,4074,4,20261009
nafld,4133,3,20261009
nafld,4135,4,20261009
nafld,4146,4,20261009
nafld,4163,2,20261009
nafld,4170,4,20261009
nafld,4172,3,20261009
nafld,4182,2,20261009
nafld,4186,5,20261009
nafld,4237,3,20261009
nafld,4243,2,20261009
nafld,4257,2,20261009
nafld,4275,2,20261009
nafld,4281,3,20261009
nafld,4306,2,20261009
nafld,4312,4,20261009
nafld,4316,5,20261009
nafld,4327,3,20261009
nafld,4330,4,20261009
nafld,4334,2,20261009
nafld,4351,2,20261009
nafld,4368,2,20261009
nafld,4374,2,20261009
nafld,4411,2,20261009
nafld,4413,3,20261009
nafld,4433,4,20261009
nafld,4438,4,20261009
nafld,4444,5,20261009
nafld,4448,4,20261009
nafld,4450,3,20261009
nafld,4481,2,20261009
nafld,4485,4,20261009
nafld,4486,4,20261009
nafld,4491,5,20261009
nafld,4510,2,20261009
nafld,4512,4,20261009
nafld,4536,3,20261009
nafld,4545,5,20261009
nafld,4552,5,20261009
nafld,4573,3,20261009
nafld,4578,3,20261009
nafld,4579,1,20261009
nafld,4584,4,20261009
nafld,4585,1,20261009
nafld,4588,4,20261009
nafld,4590,5,20261009
nafld,4595,2,20261009
nafld,4619,1,20261009
nafld,4632,4,20261009
nafld,4649,5,20261009
nafld,4659,1,20261009
nafld,4679,4,20261009
nafld,4681,2,20261009
nafld,4754,1,20261009
nafld,4760,5,20261009
nafld,4763,2,20261009
nafld,4767,2,20261009
nafld,4768,1,20261009
nafld,4771,1,20261009
nafld,4774,3,20261009
nafld,4779,5,20261009
nafld,4780,4,20261009
nafld,4785,5,20261009
nafld,4806,3,20261009
nafld,4809,1,20261009
nafld,4814,5,20261009
nafld,4826,1,20261009
nafld,4828,5,20261009
nafld,4831,3,20261009
nafld,4834,1,20261009
nafld,4858,1,20261009
nafld,4875,4,20261009
nafld,4879,5,20261009
nafld,4888,2,20261009
nafld,4905,1,20261009
nafld,4913,2,20261009
nafld,4932,2,20261009
nafld,4945,3,20261009
nafld,4947,3,20261009
nafld,4959,4,20261009
nafld,4963,4,20261009
nafld,4966,4,20261009
nafld,4970,4,20261009
nafld,5005,5,20261009
nafld,5014,5,20261009
nafld,5020,4,20261009
nafld,5024,4,20261009
nafld,5056,1,20261009
nafld,5083,4,20261009
nafld,5107,3,20261009
nafld,5152,1,20261009
nafld,5156,5,20261009
nafld,5164,3,20261009
nafld,5176,1,20261009
nafld,5177,3,20261009
nafld,5214,2,20261009
nafld,5217,4,20261009
nafld,5230,2,20261009
nafld,5252,2,20261009
nafld,5270,5,20261009
nafld,5289,4,20261009
nafld,5291,2,20261009
nafld,5293,4,20261009
nafld,5305,5,20261009
nafld,5316,4,20261009
nafld,5333,3,20261009
nafld,5340,2,20261009
nafld,5345,4,20261009
nafld,5360,3,20261009
nafld,5366,4,20261009
nafld,5380,4,20261009
nafld,5383,3,20261009
nafld,5387,4,20261009
nafld,5393,2,20261009
nafld,5406,5,20261009
nafld,5412,4,20261009
nafld,5417,3,20261009
nafld,5422,5,20261009
nafld,5471,5,20261009
nafld,5477,2,20261009
nafld,5490,4,20261009
nafld,5506,4,20261009
nafld,5523,4,20261009
nafld,5552,3,20261009
nafld,5593,1,20261009
nafld,5610,3,20261009
nafld,5625,4,20261009
nafld,5627,3,20261009
nafld,5649,5,20261009
nafld,5652,1,20261009
nafld,5655,5,20261009
nafld,5661,5,20261009
nafld,5669,2,20261009
nafld,5673,4,20261009
nafld,5703,1,20261009
nafld,5705,3,20261009
nafld,5729,3,20261009
nafld,5738,5,20261009
nafld,5739,2,20261009
nafld,5740,4,20261009
nafld,5777,1,20261009
nafld,5787,3,20261009
nafld,5796,5,20261009
nafld,5799,5,20261009
nafld,5803,1,20261009
nafld,5809,4,20261009
nafld,5816,3,20261009
nafld,5831,4,20261009
nafld,5853,2,20261009
nafld,5859,1,20261009
nafld,5865,2,20261009
nafld,5884,3,20261009
nafld,5898,3,20261009
nafld,5904,3,20261009
nafld,5922,4,20261009
nafld,5934,5,20261009
nafld,5935,5,20261009
nafld,5947,2,20261009
nafld,5948,1,20261009
nafld,5951,2,20261009
nafld,5964,2,20261009
nafld,5979,1,20261009
nafld,5984,4,20261009
nafld,6009,5,20261009
nafld,6017,3,20261009
nafld,6026,4,20261009
nafld,6032,3,20261009
nafld,6044,5,20261009
nafld,6049,2,20261009
nafld,6050,5,20261009
nafld,6059,2,20261009
nafld,6063,4,20261009
nafld,6070,5,20261009
nafld,6081,1,20261009
nafld,6093,2,20261009
nafld,6094,4,20261009
nafld,6104,5,20261009
nafld,6108,3,20261009
nafld,6126,3,20261009
nafld,6131,2,20261009
nafld,6135,1,20261009
nafld,6142,3,20261009
nafld,6158,2,20261009
nafld,6176,4,20261009
nafld,6194,3,20261009
nafld,6207,3,20261009
nafld,6219,3,20261009
nafld,6220,5,20261009
nafld,6226,1,20261009
nafld,6227,3,20261009
nafld,6236,4,20261009
nafld,6239,1,20261009
nafld,6253,4,20261009
nafld,6258,4,20261009
nafld,6260,3,20261009
nafld,6270,1,20261009
nafld,6287,5,20261009
nafld,6293,2,20261009
nafld,6321,3,20261009
nafld,6344,3,20261009
nafld,6366,4,20261009
nafld,6367,5,20261009
nafld,6372,1,20261009
nafld,6379,5,20261009
nafld,6387,3,20261009
nafld,6392,2,20261009
nafld,6405,1,20261009
nafld,6416,5,20261009
nafld,6439,5,20261009
nafld,6449,4,20261009
nafld,6454,1,20261009
nafld,6455,3,20261009
nafld,6492,1,20261009
nafld,6495,4,20261009
nafld,6506,5,20261009
nafld,6509,5,20261009
nafld,6517,5,20261009
nafld,6551,4,20261009
nafld,6567,2,20261009
nafld,6571,4,20261009
nafld,6615,1,20261009
nafld,6631,1,20261009
nafld,6632,5,20261009
nafld,6636,1,20261009
nafld,6637,5,20261009
nafld,6644,4,20261009
nafld,6662,2,20261009
nafld,6663,1,20261009
nafld,6667,4,20261009
nafld,6674,3,20261009
nafld,6711,1,20261009
nafld,6724,4,20261009
nafld,6756,5,20261009
nafld,6780,2,20261009
nafld,6781,4,20261009
nafld,6783,5,20261009
nafld,6790,5,20261009
nafld,6799,4,20261009
nafld,6808,1,20261009
nafld,6824,4,20261009
nafld,6827,4,20261009
nafld,6853,5,20261009
nafld,6856,3,20261009
nafld,6861,1,20261009
nafld,6868,1,20261009
nafld,6910,1,20261009
nafld,6923,3,20261009
nafld,6933,4,20261009
nafld,6973,4,20261009
nafld,6978,3,20261009
nafld,6985,5,20261009
nafld,6995,5,20261009
nafld,7011,2,20261009
nafld,7018,2,20261009
nafld,7022,4,20261009
nafld,7024,2,20261009
nafld,7036,3,20261009
nafld,7058,2,20261009
nafld,7063,5,20261009
nafld,7077,3,20261009
nafld,7089,2,20261009
nafld,7091,4,20261009
nafld,7100,4,20261009
nafld,7115,3,20261009
nafld,7129,4,20261009
nafld,7130,3,20261009
nafld,7143,2,20261009
nafld,7148,5,20261009
nafld,7162,4,20261009
nafld,7168,4,20261009
nafld,7221,1,20261009
nafld,7222,3,20261009
nafld,7236,3,20261009
nafld,7253,5,20261009
nafld,7287,5,20261009
nafld,7304,3,20261009
nafld,7312,2,20261009
nafld,7330,4,20261009
nafld,7333,3,20261009
nafld,7339,4,20261009
nafld,7349,1,20261009
nafld,7354,4,20261009
nafld,7362,2,20261009
nafld,7383,3,20261009
nafld,7389,1,20261009
nafld,7398,3,20261009
nafld,7412,3,20261009
nafld,7424,3,20261009
nafld,7446,3,20261009
nafld,7452,4,20261009
nafld,7458,3,20261009
nafld,7466,2,20261009
nafld,7472,5,20261009
nafld,7486,2,20261009
nafld,7489,2,20261009
nafld,7500,1,20261009
nafld,7508,5,20261009
nafld,7518,1,20261009
nafld,7526,1,20261009
nafld,7528,1,20261009
nafld,7536,2,20261009
nafld,7543,3,20261009
nafld,7544,3,20261009
nafld,7566,2,20261009
nafld,7570,5,20261009
nafld,7580,5,20261009
nafld,7605,5,20261009
nafld,7610,2,20261009
nafld,7612,4,20261009
nafld,7624,2,20261009
nafld,7656,3,20261009
nafld,7671,1,20261009
nafld,7675,1,20261009
nafld,7682,4,20261009
nafld,7693,5,20261009
nafld,7707,4,20261009
nafld,7720,2,20261009
nafld,7743,3,20261009
nafld,7744,4,20261009
nafld,7745,1,20261009
nafld,7750,5,20261009
nafld,7774,5,20261009
nafld,7824,5,20261009
nafld,7826,5,20261009
nafld,7835,2,20261009
nafld,7836,4,20261009
nafld,7856,4,20261009
nafld,7857,5,20261009
nafld,7858,4,20261009
nafld,7869,1,20261009
nafld,7872,1,20261009
nafld,7879,1,20261009
nafld,7880,5,20261009
nafld,7902,3,20261009
nafld,7903,5,20261009
nafld,7909,4,20261009
nafld,7926,4,20261009
nafld,7949,3,20261009
nafld,7975,1,20261009
nafld,7976,1,20261009
nafld,7978,4,20261009
nafld,7990,5,20261009
nafld,8003,3,20261009
nafld,8006,5,20261009
nafld,8014,2,20261009
nafld,8029,1,20261009
nafld,8030,4,20261009
nafld,8040,1,20261009
nafld,8046,1,20261009
nafld,8050,2,20261009
nafld,8054,1,20261009
nafld,8061,1,20261009
nafld,8064,1,20261009
nafld,8069,4,20261009
nafld,8074,3,20261009
nafld,8075,5,20261009
nafld,8080,3,20261009
nafld,8098,3,20261009
nafld,8114,4,20261009
nafld,8127,5,20261009
nafld,8161,2,20261009
nafld,8181,4,20261009
nafld,8183,1,20261009
nafld,8190,4,20261009
nafld,8199,5,20261009
nafld,8207,1,20261009
nafld,8226,5,20261009
nafld,8228,1,20261009
nafld,8230,4,20261009
nafld,8234,3,20261009
nafld,8268,2,20261009
nafld,8277,5,20261009
nafld,8279,2,20261009
nafld,8282,1,20261009
nafld,8284,2,20261009
nafld,8298,2,20261009
nafld,8320,5,20261009
nafld,8322,2,20261009
nafld,8324,1,20261009
nafld,8326,4,20261009
nafld,8336,2,20261009
nafld,8337,3,20261009
nafld,8338,5,20261009
nafld,8363,3,20261009
nafld,8367,3,20261009
nafld,8368,4,20261009
nafld,8371,3,20261009
nafld,8376,4,20261009
nafld,8380,5,20261009
nafld,8382,4,20261009
nafld,8397,3,20261009
nafld,8449,3,20261009
nafld,8490,1,20261009
nafld,8506,2,20261009
nafld,8519,3,20261009
nafld,8534,5,20261009
nafld,8553,2,20261009
nafld,8575,2,20261009
nafld,8598,3,20261009
nafld,8601,1,20261009
nafld,8618,4,20261009
nafld,8642,3,20261009
nafld,8673,1,20261009
nafld,8679,2,20261009
nafld,8695,5,20261009
nafld,8698,3,20261009
nafld,8710,3,20261009
nafld,8720,1,20261009
nafld,8733,1,20261009
nafld,8756,5,20261009
nafld,8768,3,20261009
nafld,8788,2,20261009
nafld,8796,2,20261009
nafld,8800,5,20261009
nafld,8801,1,20261009
nafld,8816,5,20261009
nafld,8828,3,20261009
nafld,8829,1,20261009
nafld,8875,4,20261009
nafld,8879,1,20261009
nafld,8900,5,20261009
nafld,8914,3,20261009
nafld,8940,4,20261009
nafld,8951,3,20261009
nafld,8956,2,20261009
nafld,8960,3,20261009
nafld,8966,5,20261009
nafld,8979,3,20261009
nafld,8984,1,20261009
nafld,9013,4,20261009
nafld,9015,2,20261009
nafld,9032,1,20261009
nafld,9067,4,20261009
nafld,9069,5,20261009
nafld,9086,5,20261009
nafld,9090,4,20261009
nafld,9109,3,20261009
nafld,9114,2,20261009
nafld,9128,5,20261009
nafld,9144,3,20261009
nafld,9145,1,20261009
nafld,9179,3,20261009
nafld,9183,4,20261009
nafld,9189,1,20261009
nafld,9207,5,20261009
nafld,9232,2,20261009
nafld,9235,4,20261009
nafld,9244,5,20261009
nafld,9253,3,20261009
nafld,9276,2,20261009
nafld,9278,5,20261009
nafld,9280,2,20261009
nafld,9284,2,20261009
nafld,9306,1,20261009
nafld,9314,3,20261009
nafld,9317,2,20261009
nafld,9324,3,20261009
nafld,9331,1,20261009
nafld,9348,4,20261009
nafld,9350,3,20261009
nafld,9402,1,20261009
nafld,9409,2,20261009
nafld,9416,1,20261009
nafld,9421,3,20261009
nafld,9422,4,20261009
nafld,9429,5,20261009
nafld,9430,1,20261009
nafld,9440,1,20261009
nafld,9442,3,20261009
nafld,9463,1,20261009
nafld,9466,1,20261009
nafld,9467,4,20261009
nafld,9471,2,20261009
nafld,9491,3,20261009
nafld,9498,3,20261009
nafld,9509,1,20261009
nafld,9515,4,20261009
nafld,9558,4,20261009
nafld,9560,4,20261009
nafld,9562,2,20261009
nafld,9582,4,20261009
nafld,9609,5,20261009
nafld,9613,2,20261009
nafld,9615,3,20261009
nafld,9641,1,20261009
nafld,9646,4,20261009
nafld,9654,2,20261009
nafld,9657,2,20261009
nafld,9680,5,20261009
nafld,9685,1,20261009
nafld,9707,4,20261009
nafld,9729,1,20261009
nafld,9737,3,20261009
nafld,9762,5,20261009
nafld,9769,1,20261009
nafld,9778,1,20261009
nafld,9783,5,20261009
nafld,9785,5,20261009
nafld,9788,2,20261009
nafld,9843,3,20261009
nafld,9855,3,20261009
nafld,9862,4,20261009
nafld,9867,1,20261009
nafld,9888,5,20261009
nafld,9891,5,20261009
nafld,9918,3,20261009
nafld,9929,2,20261009
nafld,9953,1,20261009
nafld,9984,1,20261009
nafld,9998,1,20261009
nafld,10014,5,20261009
nafld,10015,4,20261009
nafld,10037,4,20261009
nafld,10053,2,20261009
nafld,10060,2,20261009
nafld,10065,4,20261009
nafld,10067,3,20261009
nafld,10071,5,20261009
nafld,10087,5,20261009
nafld,10093,4,20261009
nafld,10098,4,20261009
nafld,10103,2,20261009
nafld,10104,3,20261009
nafld,10131,1,20261009
nafld,10145,4,20261009
nafld,10163,4,20261009
nafld,10168,3,20261009
nafld,10175,1,20261009
nafld,10177,2,20261009
nafld,10227,3,20261009
nafld,10231,3,20261009
nafld,10241,5,20261009
nafld,10242,1,20261009
nafld,10249,3,20261009
nafld,10257,5,20261009
nafld,10263,5,20261009
nafld,10270,3,20261009
nafld,10278,4,20261009
nafld,10280,4,20261009
nafld,10290,5,20261009
nafld,10296,3,20261009
nafld,10303,4,20261009
nafld,10323,4,20261009
nafld,10331,5,20261009
nafld,10335,1,20261009
nafld,10338,2,20261009
nafld,10348,1,20261009
nafld,10363,1,20261009
nafld,10376,3,20261009
nafld,10387,3,20261009
nafld,10393,1,20261009
nafld,10399,5,20261009
nafld,10400,5,20261009
nafld,10406,2,20261009
nafld,10412,5,20261009
nafld,10428,1,20261009
nafld,10434,4,20261009
nafld,10474,1,20261009
nafld,10480,3,20261009
nafld,10495,3,20261009
nafld,10503,5,20261009
nafld,10505,1,20261009
nafld,10541,5,20261009
nafld,10556,5,20261009
nafld,10561,3,20261009
nafld,10573,4,20261009
nafld,10583,3,20261009
nafld,10593,3,20261009
nafld,10595,3,20261009
nafld,10602,1,20261009
nafld,10626,2,20261009
nafld,10637,1,20261009
nafld,10639,3,20261009
nafld,10647,5,20261009
nafld,10655,5,20261009
nafld,10665,4,20261009
nafld,10670,5,20261009
nafld,10693,5,20261009
nafld,10695,4,20261009
nafld,10697,2,20261009
nafld,10701,1,20261009
nafld,10708,5,20261009
nafld,10710,1,20261009
nafld,10715,3,20261009
nafld,10717,2,20261009
nafld,10761,4,20261009
nafld,10815,2,20261009
nafld,10820,2,20261009
nafld,10822,3,20261009
nafld,10829,5,20261009
nafld,10836,5,20261009
nafld,10848,5,20261009
nafld,10853,1,20261009
nafld,10857,2,20261009
nafld,10863,1,20261009
nafld,10869,1,20261009
nafld,10872,5,20261009
nafld,10878,1,20261009
nafld,10893,4,20261009
nafld,10922,2,20261009
nafld,10929,3,20261009
nafld,10932,1,20261009
nafld,10945,3,20261009
nafld,11000,2,20261009
nafld,11006,1,20261009
nafld,11031,5,20261009
nafld,11058,3,20261009
nafld,11073,3,20261009
nafld,11074,3,20261009
nafld,11075,2,20261009
nafld,11096,2,20261009
nafld,11097,3,20261009
nafld,11115,1,20261009
nafld,11116,4,20261009
nafld,11118,1,20261009
nafld,11129,2,20261009
nafld,11140,4,20261009
nafld,11144,1,20261009
nafld,11155,5,20261009
nafld,11173,2,20261009
nafld,11207,5,20261009
nafld,11228,1,20261009
nafld,11240,5,20261009
nafld,11246,4,20261009
nafld,11263,5,20261009
nafld,11273,4,20261009
nafld,11280,1,20261009
nafld,11281,3,20261009
nafld,11284,1,20261009
nafld,11300,4,20261009
nafld,11312,1,20261009
nafld,11315,5,20261009
nafld,11321,5,20261009
nafld,11322,3,20261009
nafld,11325,4,20261009
nafld,11326,4,20261009
nafld,11328,4,20261009
nafld,11331,4,20261009
nafld,11339,3,20261009
nafld,11356,3,20261009
nafld,11365,5,20261009
nafld,11376,5,20261009
nafld,11386,2,20261009
nafld,11415,4,20261009
nafld,11423,3,20261009
nafld,11425,4,20261009
nafld,11462,1,20261009
nafld,11463,5,20261009
nafld,11470,4,20261009
nafld,11481,2,20261009
nafld,11506,5,20261009
nafld,11508,1,20261009
nafld,11515,5,20261009
nafld,11519,3,20261009
nafld,11521,5,20261009
nafld,11538,1,20261009
nafld,11561,3,20261009
nafld,11569,1,20261009
nafld,11573,3,20261009
nafld,11583,3,20261009
nafld,11595,3,20261009
nafld,11618,1,20261009
nafld,11624,1,20261009
nafld,11634,3,20261009
nafld,11638,3,20261009
nafld,11661,2,20261009
nafld,11670,5,20261009
nafld,11693,3,20261009
nafld,11695,4,20261009
nafld,11715,5,20261009
nafld,11726,4,20261009
nafld,11752,2,20261009
nafld,11763,5,20261009
nafld,11770,3,20261009
nafld,11789,3,20261009
nafld,11791,2,20261009
nafld,11803,1,20261009
nafld,11809,3,20261009
nafld,11810,3,20261009
nafld,11823,4,20261009
nafld,11831,2,20261009
nafld,11856,1,20261009
nafld,11872,4,20261009
nafld,11875,1,20261009
nafld,11901,2,20261009
nafld,11910,5,20261009
nafld,11911,3,20261009
nafld,11923,2,20261009
nafld,11938,1,20261009
nafld,11967,2,20261009
nafld,11986,2,20261009
nafld,11987,1,20261009
nafld,11988,4,20261009
nafld,11991,5,20261009
nafld,11995,4,20261009
nafld,11999,2,20261009
nafld,12000,1,20261009
nafld,12025,3,20261009
nafld,12028,5,20261009
nafld,12031,3,20261009
nafld,12042,5,20261009
nafld,12052,5,20261009
nafld,12053,5,20261009
nafld,12061,5,20261009
nafld,12068,4,20261009
nafld,12081,5,20261009
nafld,12082,5,20261009
nafld,12087,3,20261009
nafld,12089,2,20261009
nafld,12091,2,20261009
nafld,12097,1,20261009
nafld,12100,2,20261009
nafld,12116,1,20261009
nafld,12133,4,20261009
nafld,12178,2,20261009
nafld,12195,1,20261009
nafld,12210,5,20261009
nafld,12236,1,20261009
nafld,12240,2,20261009
nafld,12244,1,20261009
nafld,12246,3,20261009
nafld,12274,2,20261009
nafld,12287,4,20261009
nafld,12319,5,20261009
nafld,12345,5,20261009
nafld,12356,5,20261009
nafld,12400,2,20261009
nafld,12430,5,20261009
nafld,12493,3,20261009
nafld,12504,3,20261009
nafld,12514,1,20261009
nafld,12523,3,20261009
nafld,12527,5,20261009
nafld,12535,2,20261009
nafld,12543,4,20261009
nafld,12544,5,20261009
nafld,12553,3,20261009
nafld,12569,1,20261009
nafld,12583,3,20261009
nafld,12592,2,20261009
nafld,12667,5,20261009
nafld,12679,2,20261009
nafld,12681,1,20261009
nafld,12684,1,20261009
nafld,12713,3,20261009
nafld,12722,2,20261009
nafld,12727,1,20261009
nafld,12757,4,20261009
nafld,12760,4,20261009
nafld,12785,2,20261009
nafld,12798,5,20261009
nafld,12800,2,20261009
nafld,12837,2,20261009
